pair,count
"('ca', 'understand')",4
"('good', 'understand')",3
"('ca', 'video')",13
"('dna', 'exactly')",3
"('chimera', 'human')",3
"('animal', 'human')",4
"('cut', 'make')",4
"('cut', 'gene')",5
"('cut', 'video')",3
"('cut', 'place')",3
"('ca', 'cut')",6
"('cut', 'protein')",3
"('gene', 'great')",3
"('get', 'great')",5
"('ca', 'great')",5
"('great', 'sure')",3
"('end', 'make')",3
"('gene', 'get')",3
"('end', 'gene')",3
"('gene', 'protein')",8
"('get', 'place')",3
"('get', 'protein')",3
"('end', 'video')",4
"('sure', 'video')",3
"('protein', 'video')",4
"('dont', 'god')",3
"('evil', 'god')",4
"('believe', 'know')",3
"('dont', 'science')",5
"('dont', 'scientist')",4
"('dont', 'know')",7
"('actually', 'dont')",4
